task,ratio_percent,n,eval_f1_macro_mean,eval_f1_macro_std,eval_f1_macro_min,eval_f1_macro_max,eval_auroc_mean,eval_auroc_std,eval_auroc_min,eval_auroc_max,eval_auprc_mean,eval_auprc_std,eval_auprc_min,eval_auprc_max
core_promoter,0.05,3,0.4326023320008883,0.035869137559233155,0.391696,0.4586767995337194,0.5312430081045151,0.05873148705077565,0.463438,0.5662627534715374,0.528395628881549,0.04420298448952843,0.477495,0.5571244067396279
core_promoter,0.1,3,0.5066186234155395,0.06039371285545013,0.4620095555408603,0.5753443147057582,0.5967951042155165,0.0365276063419793,0.555684,0.6255160624803687,0.5931670907266082,0.04141668849077137,0.545704,0.6219763668379836
core_promoter,1.0,3,0.6809048696010905,0.0041916824620539085,0.676635,0.6850137248800119,0.8046677670265426,0.00558348882222705,0.8010471565716331,0.811098,0.823142371113649,0.004465697465532621,0.8201381019028625,0.828274
core_promoter,10.0,3,0.7966451387736897,0.0045087336657709184,0.7923635215976406,0.801351,0.8788274415871068,0.0033574992922769773,0.876411111019803,0.8826612137415174,0.8807750215300529,0.0018679405345214636,0.879398,0.8829012598839627
core_promoter,100.0,3,0.8175932296173674,0.010302285397535976,0.8062367254376419,0.8263389634144602,0.8834462871691295,0.020623419041906774,0.871411,0.9072596973863944,0.8580960371698182,0.04413946049930191,0.82502,0.9082163992855924
nontata_promoter,0.05,3,0.5287088092275779,0.025058282345734317,0.5116393993570489,0.557477,0.6027403709507364,0.009883166367009795,0.5928329797872401,0.6125991330649692,0.6243584183828086,0.018373518140951665,0.6038722744312843,0.639379
nontata_promoter,0.1,3,0.5339193508329795,0.03380584197836333,0.503886,0.5705307786253,0.6841164060770576,0.09097676582857983,0.6143566387262758,0.787018,0.7225868585321662,0.10042571255239344,0.6509752686311032,0.837381
nontata_promoter,1.0,3,0.7641966207932349,0.030924496122189206,0.7292745737514854,0.7881122886282195,0.8183020118247152,0.021014059578313274,0.7961719960375175,0.8379860394366281,0.8787806120140014,0.013036554538891649,0.8642579658536117,0.8894728701883923
nontata_promoter,10.0,3,0.8205694371952331,0.00741889218822679,0.813987,0.8286086660843972,0.9024403267934097,0.004705101903211786,0.898601,0.9076890533090208,0.9351367536243452,0.0022761815696500736,0.932727,0.9372503758026578
nontata_promoter,100.0,3,0.8855742077440056,0.00869749420853348,0.8771292973941669,0.894504,0.9373999932550864,0.01908197034234278,0.9154577069714152,0.95011,0.9549444504274471,0.018018337281474974,0.934199890576705,0.966698
promoter,0.05,3,0.5430359557317721,0.07074473896350561,0.4751,0.6162893956685385,0.6075333336681429,0.047648209137189375,0.5739575628909281,0.6620684381135005,0.6076556737990635,0.05330629232767614,0.572786767555677,0.6690182538415134
promoter,0.1,3,0.5092140785922773,0.10610659159787549,0.3881796778963376,0.586212,0.672681179731848,0.06456159705038465,0.6304777884308086,0.7470027507647354,0.6745763312541289,0.06189017489858098,0.6372646664598933,0.7460173273024934
promoter,1.0,3,0.8881396341059535,0.002974239046510337,0.8848320271758459,0.890594,0.9395776422864448,0.006868523092566727,0.9316575354974204,0.943899,0.9293184082698602,0.00608505861343059,0.9222956627893572,0.9330265620202236
promoter,10.0,3,0.9059646505563703,0.0036649611619008664,0.902836042610458,0.9099969090586528,0.9634433612138367,0.0026585097993398507,0.960456273113272,0.965549810528238,0.9562528531160666,0.004535502136628862,0.9526098155307756,0.961332743817424
promoter,100.0,3,0.9207810967440627,0.0006887946115801263,0.920062,0.9214349458491048,0.9642195096409928,0.015447364075896978,0.946694916221522,0.9758606127014564,0.9481166413492017,0.033852568764455866,0.9098295366091048,0.9740843874385002
splice,0.05,3,0.26246918850809414,0.017895778782950747,0.242345943715742,0.276599,0.4585183711978018,0.008996262257091056,0.453054,0.46890158418901,0.31103947870919463,0.005772536705476573,0.3068453430754662,0.3176230930521178
splice,0.1,3,0.24165940002821426,0.0007345470681166918,0.2408468519163659,0.2422763481682769,0.46699433097446585,0.009701106823487371,0.4582641055820308,0.477438,0.31148241034635943,0.007339163302559578,0.3046216291647211,0.319221
splice,1.0,3,0.24088867704201467,2.796898196562357e-07,0.240888515563022,0.240889,0.5135905231604081,0.012977665595795322,0.4989540206493377,0.5236925488318868,0.3444808311912135,0.00729683075333487,0.3361314387878223,0.3496350547858181
splice,10.0,3,0.6729776836288809,0.09069803968491034,0.5711360346819467,0.745049,0.8479006086744374,0.04132711406703881,0.8030333480114962,0.88441,0.721830283765084,0.07830116073206582,0.6420452361062878,0.798558
splice,100.0,3,0.6704962994163194,0.37208061014767846,0.240888515563022,0.889974,0.8081432449318101,0.26702273990500064,0.4998393286613796,0.965854,0.7323972569949999,0.3457081702170982,0.3332716336572933,0.93814
