task,run_name,ratio_percent,seed,eval_f1_macro,eval_auroc,eval_auprc
core_promoter,core_promoter_r0p05_seed13,0.05,13,0.391696,0.463438,0.477495
core_promoter,core_promoter_r0p1_seed13,0.10,13,0.482502,0.555684,0.545704
core_promoter,core_promoter_r1_seed13,1.00,13,0.676635,0.811098,0.828274
core_promoter,core_promoter_r10_seed13,10.00,13,0.801351,0.877410,0.879398
core_promoter,core_promoter_r100_seed13,100.00,13,0.820204,0.871411,0.825020
nontata_promoter,nontata_promoter_r0p05_seed13,0.05,13,0.557477,0.602789,0.639379
nontata_promoter,nontata_promoter_r0p1_seed13,0.10,13,0.503886,0.787018,0.837381
nontata_promoter,nontata_promoter_r1_seed13,1.00,13,0.775203,0.820748,0.882611
nontata_promoter,nontata_promoter_r10_seed13,10.00,13,0.813987,0.898601,0.932727
nontata_promoter,nontata_promoter_r100_seed13,100.00,13,0.894504,0.950110,0.966698
promoter,promoter_r0p05_seed13,0.05,13,0.475100,0.586574,0.581162
promoter,promoter_r0p1_seed13,0.10,13,0.586212,0.640563,0.640447
promoter,promoter_r1_seed13,1.00,13,0.890594,0.943899,0.932633
promoter,promoter_r10_seed13,10.00,13,0.905061,0.964324,0.954816
promoter,promoter_r100_seed13,100.00,13,0.920062,0.970103,0.960436
splice,splice_r0p05_seed13,0.05,13,0.276599,0.453054,0.308650
splice,splice_r0p1_seed13,0.10,13,0.241855,0.477438,0.319221
splice,splice_r1_seed13,1.00,13,0.240889,0.518125,0.347676
splice,splice_r10_seed13,10.00,13,0.745049,0.884410,0.798558
splice,splice_r100_seed13,100.00,13,0.889974,0.965854,0.938140
