task,ratio_percent,seed,train_examples,f1_macro_this_resource_run,train_runtime_sec,train_runtime_min,train_runtime_reduction_vs_100pct_percent,wall_clock_sec,wall_clock_min,wall_clock_reduction_vs_100pct_percent,eval_runtime_sec,peak_gpu_memory_mb,peak_gpu_reserved_mb,gpu_name,peak_gpu_memory_gb
core_promoter,0.05,13,24,0.4690582959641255,25.5355,0.43,98.5,32.24078845977783,0.54,98.16263752969815,8.4261,2261.871,2984.0,Tesla T4,2.21
core_promoter,0.1,13,48,0.4282297191494958,25.8399,0.43,98.5,32.690404415130615,0.54,98.13701447511792,8.166,2261.871,2984.0,Tesla T4,2.21
core_promoter,1.0,13,474,0.6492428940210124,42.5995,0.71,97.6,49.88526105880737,0.83,97.15710096218612,8.1051,2261.871,2986.0,Tesla T4,2.21
core_promoter,10.0,13,4735,0.8081887519511339,198.929,3.32,88.6,206.52859902381897,3.44,88.23019178442881,8.17,2261.871,2990.0,Tesla T4,2.21
core_promoter,100.0,13,47356,0.8145104291655024,1743.5411,29.06,0.0,1754.7320673465729,29.25,0.0,7.6069,2261.871,2990.0,Tesla T4,2.21
nontata_promoter,0.05,13,13,0.426876701083513,16.149,0.27,98.2,24.97689008712769,0.42,97.30460246549225,20.2999,2385.351,3436.0,Tesla T4,2.33
nontata_promoter,0.1,13,24,0.5610459971563637,16.5554,0.28,98.2,24.471264362335205,0.41,97.35916739840565,20.1924,2385.353,3430.0,Tesla T4,2.33
nontata_promoter,1.0,13,244,0.7662072907681738,24.5461,0.41,97.3,32.47739934921265,0.54,96.49518007134897,20.2727,2385.351,3436.0,Tesla T4,2.33
nontata_promoter,10.0,13,2439,0.8474230676610812,105.731,1.76,88.4,114.20382618904114,1.9,87.67561892343288,19.9974,2385.352,3434.0,Tesla T4,2.33
nontata_promoter,100.0,13,24387,0.9051864531814232,913.0875,15.22,0.0,926.649585723877,15.44,0.0,20.0387,2385.351,3464.0,Tesla T4,2.33
promoter,0.05,13,24,0.5224547856126803,42.4149,0.71,97.7,58.30569815635681,0.97,96.88937220839811,13.5762,4109.51,5996.0,Tesla T4,4.01
promoter,0.1,13,48,0.5981110038729079,44.578,0.74,97.6,54.49641513824463,0.91,97.09259868534453,13.9253,4109.51,6018.0,Tesla T4,4.01
promoter,1.0,13,474,0.8306434196233154,62.0856,1.03,96.7,71.36560773849487,1.19,96.19262182230267,14.001,4109.506,6018.0,Tesla T4,4.01
promoter,10.0,13,4735,0.9078220914940024,223.636,3.73,87.9,233.0532352924347,3.88,87.56653477196478,14.084,4109.509,6002.0,Tesla T4,4.01
promoter,100.0,13,47356,0.9194074605806948,1854.4352,30.91,0.0,1874.4029200077057,31.24,0.0,13.9764,4109.507,6044.0,Tesla T4,4.01
splice,0.05,13,18,0.2866573994867408,38.8246,0.65,97.4,47.85848951339722,0.8,96.88884644915476,12.6277,3908.585,5726.0,Tesla T4,3.82
splice,0.1,13,36,0.2439258270948386,39.3747,0.66,97.4,48.63246178627014,0.81,96.8385325631653,12.5944,3908.587,5720.0,Tesla T4,3.82
splice,1.0,13,365,0.240888515563022,53.0332,0.88,96.5,62.066712617874146,1.03,95.96520752506542,12.4105,3908.588,5696.0,Tesla T4,3.82
splice,10.0,13,3649,0.7399943178826244,188.2284,3.14,87.6,198.43139481544495,3.31,87.10050097994777,12.3659,3908.585,5678.0,Tesla T4,3.82
splice,100.0,13,36496,0.240888515563022,1518.7692,25.31,0.0,1538.2876071929932,25.64,0.0,12.1044,3908.591,5698.0,Tesla T4,3.82
